_id,tweet_id,tweet_date,tweet_type,text,raw_text,bio,matches
5fc6cf318cb5d32f99abde6a,1320420764991016960,2020-10-25T17:43:37.000Z,UNCW,dXNlcnRhZyB1c2VydGFnIC1QUk9OLSBxdWVlbiAtUFJPTi0gcmUgZG8gdGhhdCAtUFJPTi0gYmUgc28gcHJvdWQgb2YgLVBST04tIGJieSB0aGF0IHdvcmtzaG9wIGdyb3VwIGJlIGhvbmVzdGx5IHRoZSBnb29kIHdvcmtzaG9wIGkgaGF2ZSBiZSBhIHBhcnQgb2YgYXQgdW5jdw==,"@wannderfullll @aproflection MY QUEEN!!  YOU'RE DOING THAT!! IM SO PROUD OF YOU BBY! That workshop group was honestly the best workshop I've been a part of at UNCW","mfa @uncwcrw | @tin_house ‘20 alumna | marketer @arrc_research | before: @bpjtweets | words: @hobartpulp, @nelle_journal, @edblackcoffee, press pause press +","[""research""]"
5fc6cf318cb5d32f99abde6b,1320416740673835008,2020-10-25T17:27:37.000Z,UNCW,Y2FwaXRhbGlzbSBiZSBqdXN0IG1ha2UgYW1vbmcgdXMgbWFzayBidXQgZm9yIHJlYWwgbGlmZSB1cmx0YWc=,capitalism is just making among us masks but for real life https://t.co/rh0y2K6xW9,ydsa organizing committee at the university of north carolina wilmington  dms are open,"[""university""]"
5fc6cf318cb5d32f99abde6c,1320385831752945676,2020-10-25T15:24:48.000Z,UNCW,dXNlcnRhZyBhaSBub3QgdGhhdCB0aGUgYmxhY2sgc3F1aXJyZWwgdGhhdCBwcGwgYmUgdGFsayBhYm91dCBvbiB1bmN3IHlpayB5YWs=,@illjit Ain’t  that the black squirrel that ppl were talking about on UNCW Yik yak?,"the hero y’all need, but not the one y’all deserve. bullcity 🐂 public health 🎓clinical research 👨🏿‍🔬","[""research""]"
5fc6cf318cb5d32f99abde6d,1320345611154096128,2020-10-25T12:44:59.000Z,UNCW,dGhlIG5leHQgY2hhbGxlbmdlIGhpZ2hlcmUgd2lsbCBmYWNlIHdoYXQgYmUgdGhlIHJvaSBvZiAtUFJPTi0gdW5pdmVyc2l0eSBhbmQgZGVncmVlIGhlcmUgYmUgdW5jdyB1cmx0YWcgY29sbGVnZSBoaWdoZXJlZHVjYXRpb24gaGlnaGVyZSBlZHVjYXRpb24gc3R1ZGVudA==,"The next challenge highered will face: What's the #ROI of your #university and #degree? Here is #UNCW https://t.co/e7Bif94rpY #college #highereducation #highered #education #students","associate professor, esports coordinator at #uncw, #youtuber, author, instructional designer, #streamer, #esports, #esportsedu, #edtech, #gamer, #programmer","[""professor""]"
5fc6cf318cb5d32f99abde6e,1320341942278946816,2020-10-25T12:30:24.000Z,UNCW,dXNlcnRhZyB1c2VydGFnIHVzZXJ0YWcgdXNlcnRhZyB1c2VydGFnIHVzZXJ0YWcgdXNlcnRhZyB1c2VydGFnIHVzZXJ0YWcgZ29vZCBsdWNrIHVzZXJ0YWcgd2luZ3N1cCB1bmN3IG5vam9mYW1pbHk=,"@UNCWsoftball @amberlyn_pearce @caseyjones2_ @hunteralexcis @Domoo_Traverss @jgamache_9 @JentriMeadows @HSales6 @emily_morrison8 Good luck @amberlyn_pearce!!
#WingsUp #UNCW #NojoFamily",health/pe teacher & wbb coach at north johnston high school/ #uncw & #ecu graduate/ huge sports fan but try to keep it in perspective,"[""graduate""]"
5fc6cf318cb5d32f99abde6f,1320212657622913025,2020-10-25T03:56:40.000Z,UNCW,bG9nYW4gdGhyZWF0dCBiZSBhIGJhbGxlcuKAvO+4jyA24oCZMiBwZyBvZiB1c2VydGFnIGF2ZXJhZ2luZyBwcGcgdGhydSBnYW1lIGZvciBuYyBmbGFtZSBpbiAxN3UgZGl2IGhvbGQgb2ZmZXIgZnJvbSB1bmN3IGJpZ3Nob3Qgcm9ja2hpbGxob29wZmVzdCB1c2VydGFnIHVzZXJ0YWcgdXJsdGFn,"LOGAN THREATT is a BALLER‼️

2022 6’2 PG of @cfaBasketball averaging 24 ppg thru 2 games for NC Flames in 17U div.
Holds offer from UNCW
#BIGSHOTS #RockHillHoopfest @LoganThreatt @CourtXIV https://t.co/5rjSnQbHxh","exposure events, d1 & non-d1 recruiting services, rankings, players club, tv|14,000+ alums received scholarships, 243 in nba|kevin schneider: kevin@bigshots.net","[""scholar""]"
5fc6cf318cb5d32f99abde70,1320188978675548161,2020-10-25T02:22:35.000Z,UNCW,dXNlcnRhZyB1c2VydGFnIHVzZXJ0YWcgLVBST04tIGJlIGN1cnJlbnRseSBpbiAtUFJPTi0gM3JkIHllYXIgYXQgdW5jdyBhbmQgaSBsb3ZlIC1QUk9OLSBpIGp1c3QgY2Egbm90IHNlZSB3b3JrIGZvciAzNmsgaWYgaSBjb250aW51ZSBhbmQgZWFybiBhIG1hc3RlciBiZSBpIHNlZSBob3cgLVBST04tIGJlIHRyZWF0IHdoZW4gLVBST04tIHByb3Rlc3QgYXQgdGhlIGNhcGl0YWwgYW5kIGJlIGFwcGFs,@StefGWalsh @The_Drama_Coach @NicholasFerroni I’m currently in my 3rd year at UNCW and I love it. I just can’t see working for $36k if I continue and earn a Master’s. I saw how they were treated when they protested at the capital and was appalled.,i’m new to this game! i have no clue what i’m getting into lol! #usmc #veteran #futureeducator,"[""educator""]"
5fc6cf318cb5d32f99abde71,1320168923560640512,2020-10-25T01:02:53.000Z,UNCW,d29yayBmb3IgYW4gaG91ciBiZSBub3QgYSBzYWZldHkgbmV0IC1QUk9OLSBhIGpvYiBhbmQgc2hvdWxkIHBheSBsaWtlIG9uZSB1cmx0YWc=,"working for $2.50 an hour is not a safety net, its a job and should pay like one https://t.co/rzaLrEOLyB",ydsa organizing committee at the university of north carolina wilmington  dms are open,"[""university""]"
5fc6cf318cb5d32f99abde72,1320133980205817856,2020-10-24T22:44:02.000Z,UNCW,dXNlcnRhZyAtUFJPTi0gYmUgYSBkaXNhYmxlZCBtYXJpbmUgdmV0ZXJhbiB3aG8gaG9sZCBhIGJzdyBmcm9tIHVuY3cgLVBST04tIGJlIGxpdGVyYWxseSB1bmFibGUgdG8gd29yayBob3dldmVyIC1QUk9OLSBiZSB3b3JrIHRvIHRyeSB0byBzaG93IGhvdyAtUFJPTi0gY2FuIGJlIHdlbGwgLVBST04tIGNvbnRpbnVlIHRvIGluc3BpcmUgLVBST04tIC1QUk9OLSB3byBub3QgY2FsbCAtUFJPTi0gYSBsb3NlciBvciBzdWNrZXIgLVBST04tIGNhcmUgdGhhdCBtYXR0ZXIgdG8gLVBST04tIHRoYW5rIC1QUk9OLQ==,"@JoeBiden I’m a disabled Marine Veteran who holds a BSW from UNCW. I’m literally unable to work. 

However, I’m working to try to show how we can be better. 
You continue to inspire me. 

You won’t call me a loser or sucker. You care. That matters to me.  
Thank you.","disabled marine. mom to my mini-me. i love hockey, reading, writing and all things bravo. sarcastic with a twisted sense of humor.  aspiring rocket scientist.","[""scientist""]"
5fc6cf318cb5d32f99abde73,1320047403261542401,2020-10-24T17:00:00.000Z,UNCW,am9pbiBmb3VuZGVyIG9mIGwgYSBraXRjaGVuIGFuZCBkYyBjZW50cmFsIGtpdGNoZW4gcm9iZXJ0IGVnZ2VyIG9uIG5vdiBhdCBwbSBhcyAtUFJPTi0gZGlzY3VzcyB0aGUgaW1wYWN0IG9mIGZvb2QgaW5zZWN1cml0eSBpbiAtUFJPTi0gY29tbXVuaXR5IHNwYWNlIGJlIGxpbWl0ZWQgcmVzZXJ2YXRpb24gcmVxdWlyZSB1cmx0YWcgdW5jd2NoaHMgZm9vZGluc2VjdXJpdHkgdXNlcnRhZyB1cmx0YWc=,"Join founder of L.A. Kitchen &amp; DC Central Kitchen Robert Egger on Nov. 10, at 2 pm as he discusses the impact of food insecurity in our community. Space is limited. Reservations required: https://t.co/4ym2JWKLXS #uncwchhs #foodinsecurity @robertegger https://t.co/kDiRnkYU2I",school of health and applied human sciences  •  school of nursing  •  school of social work @uncwilmington,"[""sciences"",""science""]"
